Entity,Code,Mean male height (cm),Mean female height (cm),Mean BMI (kg/m) (age-standardized estimate) - Sex: male - Age group: 18+  years of age,Mean BMI (kg/m),Life expectancy at birth (years),Road traffic mortality rate (per 100 000 population)
Mozambique,MOZ,165.43833955,154.3711315,22,23.4,57.66202708,20.10000000000000
Myanmar,MMR,164.6115948,154.30365736,22.2,23,67.84580637,19.30000000000000
Namibia,NAM,167.9163381,159.28007689,22.9,25.3,60.35994599,22.00000000000000
Nauru,NRU,168.11651337,154.65782273,32.2,32.7,,8.00000000000000
Nepal,NPL,162.41962741,150.93960148,22.5,22.5,70.04936795,28.20000000000000
Netherlands,NLD,182.54525573,168.7822085,26,25.1,81.12478594,3.40000000000000
New Zealand,NZL,177.81803346,164.89431366,28.1,28,82.20149177,6.60000000000000
Nicaragua,NIC,166.7785389,154.38235019,26.5,27.9,75.02796138,13.60000000000000
Niger,NER,168.73403925,158.84392044,21.4,22.3,59.97070525,24.90000000000000
Nigeria,NGA,166.6937646,156.90807863,22.5,23.9,63.3974984,17.20000000000000
Niue,NIU,175.80299842,164.64386886,31.4,33.3,,0.00000000000000
North Korea,PRK,171.52265119,158.67210072,24.2,24,72.6431485,
North Macedonia,MKD,178.33895796,160.02655416,27.3,26.2,72.99535604,5.70000000000000
Norway,NOR,179.83230188,165.80615876,27.3,26.1,82.88199872,1.50000000000000
Oman,OMN,169.29673427,157.26152895,26.4,26.3,72.47676726,11.00000000000000
Pakistan,PAK,167.10896687,154.14862211,23.3,24.6,65.99092295,11.90000000000000
Palau,PLW,167.93668125,156.64574984,29.5,29.6,,22.20000000000000
Palestine,PSE,172.41495657,158.91935379,,,73.49178033,4.70000000000000
Panama,PAN,168.51950252,155.51173386,26.2,27.7,77.23869904,7.30000000000000
Papua New Guinea,PNG,163.87877772,155.26710814,25.3,26,65.48786529,14.90000000000000
Paraguay,PRY,172.63931176,159.63612127,26.5,26.9,70.27080999,21.00000000000000
Peru,PER,165.21925013,152.75333569,26.2,27.1,71.66727055,12.70000000000000
Philippines,PHL,163.1234844,149.4898645,22.8,23.5,66.40834182,9.70000000000000
Poland,POL,177.26640689,164.5140873,27.4,25.9,75.4021086,6.50000000000000
Portugal,PRT,172.86864379,162.83281843,26.1,25.1,81.17961003,7.20000000000000
Puerto Rico,PRI,172.02316122,159.27848369,,,79.90294803,12.50000000000000
Qatar,QAT,170.78017434,159.48957074,28.8,30.1,76.7101384,7.30000000000000
Romania,ROU,174.94175907,162.77171576,27,26.8,72.76430945,9.60000000000000
Russia,RUS,176.43148902,164.99971274,25.8,26.4,70.017337,10.60000000000000
Rwanda,RWA,163.82136333,155.31895944,21.3,22.8,67.54213882,11.60000000000000
Saint Kitts and Nevis,KNA,169.72753361,159.64828329,28.2,30.7,,23.10000000000000
Saint Lucia,LCA,172.01914429,162.58223028,29.6,30.4,71.1130421,8.90000000000000
Saint Vincent and the Grenadines,VCT,172.67968023,160.76943136,26.3,28.2,72.55709418,4.80000000000000
Samoa,WSM,174.30106894,162.08505614,30.4,34.1,70.27372108,9.60000000000000
Sao Tome and Principe,STP,168.39589075,159.17742708,23.9,25.6,71.17810896,11.70000000000000
Saudi Arabia,SAU,168.08180913,156.06273071,28,29.2,76.42921259,18.50000000000000
Senegal,SEN,173.9261574,162.709777,21.8,24,67.79198263,20.80000000000000
Serbia,SRB,180.66097248,167.49755419,26.6,25.5,72.80891574,7.40000000000000
Seychelles,SYC,174.52329435,162.03043643,25.5,27.9,74.01196664,6.60000000000000
Sierra Leone,SLE,165.31943139,156.93164403,21.9,23.5,61.0228635,13.80000000000000
Singapore,SGP,172.55624719,160.16750142,24.3,23,83.85708962,1.90000000000000
Slovakia,SVK,179.51174886,167.27341518,27.3,25.5,74.50941328,6.40000000000000
Slovenia,SVN,179.6934955,165.93851576,26.6,26.5,80.41495666,5.80000000000000
Solomon Islands,SLB,164.97370281,154.90340464,25.7,26.9,64.79245685,11.20000000000000
Somalia,SOM,167.28705572,156.35007654,22.5,23.9,53.95143945,20.20000000000000
South Africa,ZAF,167.48872692,158.37796824,25,29.3,61.49918805,24.50000000000000
South Korea,KOR,174.70372681,161.96622699,24.4,23.1,83.79982334,6.90000000000000
Spain,ESP,176.38297373,163.21915512,27,24.8,82.66267258,3.50000000000000
Sri Lanka,LKA,165.48971454,154.27841755,22.5,23.7,77.22895472,11.50000000000000
Sudan,SDN,167.31434562,156.32984174,,,67.58515204,19.60000000000000
Suriname,SUR,172.6269043,160.73061269,25.4,27.7,69.78412349,16.20000000000000
Sweden,SWE,179.82361502,165.90779348,26.7,25.4,82.6649092,2.10000000000000
Switzerland,CHE,178.1926997,163.65373951,26.7,23.7,83.32795777,2.40000000000000
Syria,SYR,170.77191744,158.69312262,27.4,29.2,72.43803165,29.90000000000000
Taiwan,TWN,173.82842313,160.9126127,,,,
Tajikistan,TJK,171.52205198,157.73960403,25.8,26.3,71.814877,13.90000000000000
Tanzania,TZA,165.59468599,156.06472869,22.3,24.1,66.8101483,15.80000000000000
